,city,country,plan_name,plan_type,start year
172,"Karachi City District, Pakistan",Pakistan,"Karachi City District, Pakistan",Integrated climate plan,2017
173,"Karachi City District, Pakistan",Pakistan,"Karachi City District, Pakistan",Climate adaptation /resilience plan,2007
174,"Municipalidad Provincial de Tambopata, Peru",Peru,"Municipalidad Provincial de Tambopata, Peru",Integrated climate plan,2015
175,"Municipalidad Provincial de Tambopata, Peru",Peru,"Municipalidad Provincial de Tambopata, Peru",Climate mitigation plan,2014
176,"Municipalidad Provincial de Tambopata, Peru",Peru,"Municipalidad Provincial de Tambopata, Peru",Climate adaptation /resilience plan,2014
177,"Municipalidad Provincial de Tambopata, Peru",Peru,"Municipalidad Provincial de Tambopata, Peru",Climate mitigation plan,2015
178,"Municipalidad de Santiago de Surco, Peru",Peru,"Municipalidad de Santiago de Surco, Peru",Integrated climate plan,2016
179,"Municipalidad de Santiago de Surco, Peru",Peru,"Municipalidad de Santiago de Surco, Peru",Integrated climate plan,2016
180,"Municipalidad de Santiago de Surco, Peru",Peru,"Municipalidad de Santiago de Surco, Peru",Integrated climate plan,2016
181,"Municipalidad de Santiago de Surco, Peru",Peru,"Municipalidad de Santiago de Surco, Peru",Integrated climate plan,2016
182,"Municipalidad de Santiago de Surco, Peru",Peru,"Municipalidad de Santiago de Surco, Peru",Integrated climate plan,2015
183,"Municipality of Magdelena Del Mar, Peru",Peru,"Municipality of Magdelena Del Mar, Peru",,2016
184,"Municipality of Magdelena Del Mar, Peru",Peru,"Municipality of Magdelena Del Mar, Peru",,2016
185,"Municipality of Magdelena Del Mar, Peru",Peru,"Municipality of Magdelena Del Mar, Peru",,2016
186,"Municipality of Magdelena Del Mar, Peru",Peru,"Municipality of Magdelena Del Mar, Peru",,2016
187,"Municipality of Magdelena Del Mar, Peru",Peru,"Municipality of Magdelena Del Mar, Peru",,2016
188,"Municipality of San Isidro, Lima, Peru",Peru,"Municipality of San Isidro, Lima, Peru",,2016
189,"Municipality of San Isidro, Lima, Peru",Peru,"Municipality of San Isidro, Lima, Peru",Integrated climate plan,2016
190,"Municipality of Tahuamanu, Peru",Peru,"Municipality of Tahuamanu, Peru",Climate mitigation plan,2017
191,"Municipality of Tahuamanu, Peru",Peru,"Municipality of Tahuamanu, Peru",Climate adaptation /resilience plan,
192,"City of Batangas, Philippines",Philippines,"City of Batangas, Philippines",Climate mitigation plan,2017
193,"City of Catbalogan, Philippines",Philippines,"City of Catbalogan, Philippines",Climate adaptation /resilience plan,2016
194,"City of Catbalogan, Philippines",Philippines,"City of Catbalogan, Philippines",Climate adaptation /resilience plan,2015
195,"City of Parañaque, Philippines",Philippines,"City of Parañaque, Philippines",Climate mitigation plan,
196,"Pasig City Government, Philippines",Philippines,"Pasig City Government, Philippines",,2010
197,"Pasig City Government, Philippines",Philippines,"Pasig City Government, Philippines",,2012
198,"Tarlac City Local Government, Philippines",Philippines,"Tarlac City Local Government, Philippines",Climate adaptation /resilience plan,
199,"Tarlac City Local Government, Philippines",Philippines,"Tarlac City Local Government, Philippines",Integrated climate plan,2017
200,"Municipality of Almada, Portugal",Portugal,"Municipality of Almada, Portugal",Climate mitigation plan,2019
201,"Municipality of Almada, Portugal",Portugal,"Municipality of Almada, Portugal",Climate adaptation /resilience plan,2019
202,"City of Changwon, Republic of Korea",Republic of Korea,"City of Changwon, Republic of Korea",Integrated climate plan,2019
203,"Seoul Metropolitan Government, Republic of Korea",Republic of Korea,"Seoul Metropolitan Government, Republic of Korea",Climate mitigation plan,2019
204,"Seoul Metropolitan Government, Republic of Korea",Republic of Korea,"Seoul Metropolitan Government, Republic of Korea",Climate adaptation /resilience plan,2019
205,"Cape Town Metropolitan Municipality, South Africa",South Africa,"Cape Town Metropolitan Municipality, South Africa",Climate mitigation plan,2011
206,"Cape Town Metropolitan Municipality, South Africa",South Africa,"Cape Town Metropolitan Municipality, South Africa",Climate adaptation /resilience plan,2011
207,"City of Johannesburg Metropolitan Municipality, South Africa",South Africa,"City of Johannesburg Metropolitan Municipality, South Africa",Climate adaptation /resilience plan,
208,"City of Johannesburg Metropolitan Municipality, South Africa",South Africa,"City of Johannesburg Metropolitan Municipality, South Africa",Climate mitigation plan,2012
209,"City of Johannesburg Metropolitan Municipality, South Africa",South Africa,"City of Johannesburg Metropolitan Municipality, South Africa",Integrated climate plan,2016
