,"Agriculture, forest and other land use",Industrial process and product use,Stationary energy,Transport,Waste management,city,country,inventory_type,Other
164,0.0,0.0,0.0,1960186.0,130017699.0,"Municipality of Fortaleza, Brazil",Brazil,Government operations inventory,0.0
165,0.0,0.0,0.0,0.0,0.0,"Municipality of Joinville, Brazil",Brazil,Community inventories,
166,0.0,0.0,0.0,0.0,0.0,"Municipality of Londrina, Brazil",Brazil,Community inventories,
167,0.0,0.0,0.0,0.0,0.0,"Municipality of Londrina, Brazil",Brazil,Government operations inventory,0.0
168,0.0,0.0,0.0,0.0,0.0,"Municipality of Niterói, Brazil",Brazil,Community inventories,
169,0.0,0.0,0.0,0.0,0.0,"Municipality of Porto Alegre, Brazil",Brazil,Community inventories,
170,0.0,0.0,0.0,0.0,0.0,"Municipality of Porto Alegre, Brazil",Brazil,Government operations inventory,0.0
171,0.0,0.0,745804.0,1595858.0,581719.0,"Municipality of Recife, Brazil",Brazil,Community inventories,
172,0.0,0.0,0.0,0.0,0.0,"Municipality of Recife, Brazil",Brazil,Government operations inventory,0.0
173,8772.0,41809790.0,0.0,0.0,2524800.0,"Municipality of Rio de Janeiro, Brazil",Brazil,Community inventories,
174,0.0,0.0,0.0,0.0,554.6600000000001,"Municipality of Rio de Janeiro, Brazil",Brazil,Government operations inventory,0.0
175,0.0,0.0,304053.0,693567.0,233467.0,"Municipality of Sorocaba, Brazil",Brazil,Community inventories,
176,22160.2,0.0,0.0,624679.0,162645.8,"Municipality of Sorocaba, Brazil",Brazil,Government operations inventory,0.0
177,8200.0,0.0,2477033.359,10588750.0,2440400.0,"Municipality of São Paulo, Brazil",Brazil,Community inventories,
178,0.0,0.0,0.0,0.0,554.6600000000001,"Municipality of São Paulo, Brazil",Brazil,Government operations inventory,0.0
179,0.0,0.0,11395871.0,4897000.0,215260.0,"City of Calgary, AB, Canada",Canada,Community inventories,
180,0.0,0.0,0.0,110917.0,0.0,"City of Calgary, AB, Canada",Canada,Government operations inventory,0.0
181,0.0,0.0,18789.0,45301.0,1428.0,"City of Colwood, Canada",Canada,Community inventories,
182,0.0,0.0,0.0,231.0,0.0,"City of Colwood, Canada",Canada,Government operations inventory,0.0
183,-100817.0,1008973.0,10912605.0,4579268.0,155911.0,"City of Edmonton, AB, Canada",Canada,Community inventories,
184,0.0,0.0,0.0,0.0,42179.0,"City of Edmonton, AB, Canada",Canada,Government operations inventory,0.0
185,0.0,0.0,0.0,0.0,0.0,"City of Fredericton, NB, Canada",Canada,Community inventories,
186,0.0,0.0,0.0,0.0,0.0,"City of Fredericton, NB, Canada",Canada,Government operations inventory,0.0
187,0.0,0.0,1638000.0,481000.0,53000.0,"City of Greater Sudbury, ON, Canada",Canada,Community inventories,
188,0.0,0.0,138404.0,186161.0,12627.0,"City of Maple Ridge, Canada",Canada,Community inventories,
189,0.0,0.0,0.0,1290.0,11.0,"City of Maple Ridge, Canada",Canada,Government operations inventory,12.0
190,0.0,0.0,8154586.0,4714000.0,367000.0,"City of Montréal, QC, Canada",Canada,Community inventories,
191,0.0,0.0,0.0,74853.0,331.0,"City of Montréal, QC, Canada",Canada,Government operations inventory,23601.0
192,0.0,0.0,101596.0,98151.0,9974.0,"City of North Vancouver, Canada",Canada,Community inventories,
193,0.0,0.0,0.0,0.0,197.0,"City of North Vancouver, Canada",Canada,Government operations inventory,0.0
194,0.0,0.0,521284.0,588698.0,45456.0,"City of Richmond, BC, Canada",Canada,Community inventories,
195,0.0,0.0,0.0,3417.0,924.0,"City of Richmond, BC, Canada",Canada,Government operations inventory,1.0
196,0.0,0.0,808271.0,1690951.0,70898.0,"City of Surrey, Canada",Canada,Community inventories,
197,0.0,0.0,0.0,7897.0,0.0,"City of Surrey, Canada",Canada,Government operations inventory,0.0
