,name,country,population,adhesion_date,latitude,longitude,url,ACTION,MONITOR
2256,Dumbria,Spain,3040,07/03/2019,43.009305690979,-9.1150356202096,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=26203,0,1
2257,Dumbrăviţa (Judetul Timiş),Romania,2980,27/01/2012,45.801349639893,21.248350143433,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=15134,1,1
2258,Dumfries and Galloway Council,United Kingdom,148000,03/07/2012,55.070861816406,-3.6051199436188,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=16237,1,1
2259,Dun Laoghaire Rathdown,Ireland,218018,14/11/2016,53.294258117676,-6.1342601776123,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=20017,1,1
2260,Dunaalmás,Hungary,1570,"Környe,Szákszend,Vértestolna,Naszály,Szárliget,Vértesszőlős ,Kecskéd,Szomód,Kömlőd,Kocs,Gyermely,Dunaszentmiklós,Dunaalmás,Bokod,Vértessomló,Várgesztes,Héreg,Baj,Szomor,Tardos,Tarján,Dad",47.734009147972,18.33497299807,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=25272,1,1
2261,Dunaivtsi,Ukraine,39083,12/09/2017,48.891198334295,26.861906991016,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=25447,1,1
2262,Dunaszentmiklós,Hungary,474,"Kecskéd,Héreg,Tardos,Környe,Gyermely,Vértestolna,Várgesztes,Vértessomló,Kömlőd,Vértesszőlős ,Tarján,Szákszend,Baj,Szomód,Szárliget,Dunaszentmiklós,Bokod,Naszály,Dunaalmás,Szomor,Dad,Kocs",47.703900137082,18.382194423279,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=25271,1,1
2263,Dunaújváros ,Hungary,45703,14/12/2017,46.964859008789,18.940179824829,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=20405,1,1
2264,Dundee City Council,United Kingdom,148270,19/03/2018,56.453140258789,-2.9443399906158,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=20478,1,1
2265,Durham,United Kingdom,505000,12/01/2009,54.785800933838,-1.5878800153732,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=11903,1,1
2266,Duronia,Italy,465,03/08/2011,41.393501281738,14.273300170898,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=14940,0,1
2267,Dziatlava,Belarus,25336,20/07/2018,53.46600664805,25.404934058392,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=25402,0,1
2268,Dág,Hungary,941,"Nyergesújfalu,Csolnok,Süttő,Lábatlan,Leányvár,Nagysáp,Piliscsév,Tát,Sárisáp,Kesztölc,Mogyorósbánya,Dömös,Bajna,Máriahalom,Annavölgy,Tokod,Epöl,Tokodaltáró,Dág,Bajót,Pilismarót,Úny,Süttő",47.663199336775,18.720229909593,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=25325,1,1
2269,Dámóc,Hungary,372,15/05/2015,48.220001220703,22.200000762939,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=19129,0,1
2270,Dénia,Spain,41568,30/05/2013,38.84130859375,0.10599000006914,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=16959,1,1
