"action_co2_reduction","action_cost","action_description","action_end_year","action_start_year","action_website","country","language","name"
78,2000,"Sensibilizzazione al riciclo e organizazione raccolta differenziata
",2020,2011,"","Italy","it","Agrate Brianza"
18.9,NA,"Riqualificazione involucro e impianto di edifici scolastici
",2008,2008,"","Italy","en","Agrate Brianza"
404.3,2000,"Sensibilizzazione al riciclo e organizazione raccolta differenziata
",2010,2006,"","Italy","it","Agrate Brianza"
89,1000,"organization of a single booking at pharmacies to avoid the route by car to the hospital to make reservations for exams",2012,2011,"","Italy","it","Agrate Brianza"
7.69,20290.34,"REPLACE THE EXISTING PUBLIC LIGHTING VSAP (150W) LIGHTS, BY LED.",2013,2013,"","Spain","en","Agres "
8.95,32024.46,"REPLACE DIESEL BOILER BY FIREWOOD BOILER",2014,2014,"","Spain","en","Agres "
1.02,2236,"REPLACE FLUORESCENT TUBES BY ECO-TUBES",2013,2013,"","Spain","en","Agres "
3.47,30000,"Pedestrian, architectural barriers and steel",2020,2012,"","Spain","en","Agrón"
267.93,3e+05,"Sustitución de calderas de gasoil o gas propano por calderas de biomasa",2020,2012,"","Spain","es","Agrón"
11.21,35000,"Installation in 5% of households",2020,2012,"","Spain","es","Agrón"
607,38000,"Gli interventi hanno riguardato l'installazione di impianti fotovoltaici sui seguenti edifici di proprietà comunale:
- casa comunale  
- cimitero comunale
- edificio comunale",2016,2013,"","Italy","en","Agropoli"
59,134200,"Efficientamento energetica casa comunale - impianti di gestione del calore",2018,2014,"","Italy","en","Agropoli"
932,30000,"Il progetto ha previsto l'ammodernamento dell'illuminazione pubblica mediante l'utilizzo della tecnologia led per 150 punti luce. Finanziamento ministeriale a valere sul programma ""6000 campanili"". ",2015,2013,"","Italy","it","Agropoli"
79.07,180000,"Increase the area of solar thermal in the municipality. Target: install solar heating  in 50 homes already built",2008,2007,"","Spain","en","Aguadulce"
9.43,133000,"Creation of Recreation Park La Molina with sustainable planning and pedestrian routes",2013,2007,"","Spain","en","Aguadulce"
212,30000,"Project EnerEscolas/EnerShools, promoted under LA21/CoM, it’s an energy efficiency project which aims to introduce the E-Efficiency in primary schools CV and further years, install remote energy integrated monitoring systems, didactic software (e.g. data display), promote training/education sessions for all, with the aim of optimizing the use of electricity, learn to save and not waste: at school but also at home, involving school community. In the 1st year, schools improved significantly e- efficiency: EB1Agueda: average reduction of 3018.64 kWh, ˜ to an average reduction of 4.6%; EB1Arrancada of the Vouga: 4626.56 kWh reduction ˜ to 11.0% less consumption; EB1Recardães: 4782 kWh reduction ˜ to an 30.4% reduction; EB1Barrô: reduced energy consumption of 5478 kWh ˜ to 42.1% less; Also innovative activities/projects where created in schools and among the community.",2020,2008," http://agueda21.wordpress.com/2011/11/29/enerescolas-monitorizar-experimentar-e-aprender/ ","Portugal","en","Águeda"
1435,151267,"The Municipality promoted the association Lighting Living Lab, which develops innovative solutions in energy efficiency: Replacement in streets of conventional lamps by LED technology, installed and programmed to respond to a computer application that manages the light intensity and periods when it should be more or less intense; Replacement of degraded luminaries by other with ballasts more efficient and progressive replacement of the lamps of semaphores by LED lights; Project SIGLuzEE - a software application to manage the public lighting infrastructure; Preparation of a Master Plan for Exterior Lighting in Águeda; City Hall building becomes a showroom for testing innovative lighting solutions; Seminars to share experiences on energy efficiency and create a space to highlight technology of intelligent lighting and eco-sustainable, new services, products and business opportunities.",2020,2009," http://www.cm-agueda.pt/PageGen.aspx?WMCM_PaginaId=27652&noticiaId=58515 ","Portugal","en","Águeda"
729,108406,"Águeda City Council launched Águeda TV in June 2009, intending to inform and communicate with all residents in Águeda and in the world. 
Águeda TV offers credible and targeted information to audiences of all ages, focusing on ten themes:
. Social action;
. Appointment book;
. Environment;
. Culture;
. Economic development;
. Sport;
. Education;
. Local Administration;
. Real Estate Management
. Tourism.
This information channel was designed to give voice to all social actors, announce the most relevant activities and events of the municipality and gather elements that promote and announce Águeda to the World.
As part of the Águeda TV channel the Águeda TV Studio was also created. In this space are made videos, formative actions, among others, developing and improving the channel Águeda TV.",2020,2002,"","Portugal","en","Águeda"
3936,61888,"Águeda Concept is based on a concept of sustainability, with a strong environmental component, aiming to promote sustainable local economy and make it strong in the global market.
Águeda Concept was developed by a network of 35 companies and public and private institutions, in order to face the new challenges of competitiveness and innovation and to disclose what is best produced in the municipality from a business point of view.
The first example of this cooperation was the construction of a modular architecture house, built on recycled material and fully equipped with products from partners network. This first example intended to create a space to find synergies that allow the development of new sustainable products and concepts from Águeda to the world.",2020,2002,"","Portugal","en","Águeda"
422,649945.9,"Águeda Urban Cycle Track Network covers 39 streets and its divided in two parts, namely a priority cycle track encompassing the city's central core and a secondary cycle track, which covers connections to the remaining cycle network and secondary access roads to the city.
The aim of this project is to promote the use of bicycle as an alternative transport. This cycle track connects urban parks to places of commerce and leisure, promoting the experience of the city for leisure and fun as well as the use of eco-friendly transportation modes.",2020,2002,"","Portugal","en","Águeda"
