,adhesion_date,country,latitude,longitude,name,population,url,ACTION,MONITOR
1831,30/04/2009,Spain,41.634498596191,2.1617801189423003,Caldes de Montbui,16885,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=12110,1,1
1832,31/07/2008,Spain,41.613201141357,2.6570498943329,Calella,18627,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=11648,1,1
1833,"Langhirano,Corniglio,Palanzano,Calestano",Italy,44.600540161133004,10.122119903564,Calestano,2082,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=17564,1,1
1834,30/10/2017,Italy,43.86515045165999,11.166919708252001,Calenzano ,17914,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=20458,1,1
1835,05/06/2015,Italy,,,Calendasco,GossolengoSarmatoAgazzanoGragnano TrebbienseGazzolaCalendascoRivergaro,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=20624,1,1
1836,26/04/2013,Portugal,32.726398468018,-17.165739059448,Calheta,11521,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=16907,1,1
1837,30/09/2009,Italy,44.213401794434006,9.843620300292999,Calice al Cornoviglio,1175,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=12961,1,1
1838,30/11/2012,Italy,44.240390777588,8.1128902435303,Calizzano,1555,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=17012,1,1
1839,25/10/2012,Spain,38.651321411133,-0.12258999794722,Callosa d'en Sarrià,7223,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=16073,1,1
1840,30/09/2010,Italy,40.150001525879,18.170000076294,Calimera,7281,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=14720,1,1
1841,01/03/2013,Italy,45.80152130127,9.4326295852661,Calolziocorte,14315,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=16817,1,1
1842,22/03/2012,Spain,41.924869537354,2.2841000556946,Calldetenes,2436,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=15414,1,1
1843,14/04/2010,Spain,38.12260055542,-0.8794900178909301,Callosa de Segura,18864,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=13031,1,1
1844,30/09/2009,Spain,41.834701538086,1.7515399456024,Callús,1759,https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=12851,1,1
