,attr_Emissions_reduction,attr_Energy_access_&_efficiency,attr_Renewable_energy,baseline_year,cdp,company_classification,country,dollar_value,entity_type,name,percent_reduction,raw_commitment,target_year,url,attr_Use_of_carbon_price,attr_Building,attr_Private_finance,climatebonds,green_bond,carbonn,community_wide,covenant_of_mayors,attr_Resilience,attr_Forest,attr_Transport,attr_Other,attr_Short_term_pollutants,climategroup,investorsclimatechange,globalcompact,attr_Agriculture,cooperative-initiative,attr_Innovation
,,,,,,Air Freight Transportation and Logistics,South Africa,,Company,Transnet,,Responsible corporate engagement in climate policy,,/company/transnet,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Building Products,Denmark,,Company,Rockwool International A/S,,Responsible corporate engagement in climate policy,,/company/rockwool-international-as,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Food and Beverage Processing,South Africa,,Company,Tongaat Hulett Ltd,,Responsible corporate engagement in climate policy,,/company/tongaat-hulett-ltd,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Construction and Engineering,Spain,,Company,FERROVIAL,,Responsible corporate engagement in climate policy,,/company/ferrovial,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Food and Beverage Processing,Switzerland,,Company,Coca-Cola HBC AG,,Responsible corporate engagement in climate policy,,/company/coca-cola-hbc-ag,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Oil and Gas,Australia,,Company,Origin Energy,,Responsible corporate engagement in climate policy,,/company/origin-energy,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,,Australia,,Investor,Australia and New Zealand Banking Group,,Responsible corporate engagement in climate policy,,/company/australia-and-new-zealand-banking-group,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,"Hotels, Restaurants, Leisure, and Tourism",Spain,,Company,Melia Hotels International SA,,Responsible corporate engagement in climate policy,,/company/melia-hotels-international-sa,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Telecommunication Services,United Kingdom of Great Britain and Northern Ireland,,Company,BT Group,,Responsible corporate engagement in climate policy,,/company/bt-group,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Food and Beverage Processing,Mexico,,Company,Coca-Cola Femsa Sab-Ser l,,Responsible corporate engagement in climate policy,,/company/coca-cola-femsa-sab-ser-l,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Air Freight Transportation and Logistics,Portugal,,Company,CTT - Correios de Portugal SA,,Responsible corporate engagement in climate policy,,/company/ctt--correios-de-portugal-sa,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Retailing,United Kingdom of Great Britain and Northern Ireland,,Company,Kingfisher,,Responsible corporate engagement in climate policy,,/company/kingfisher,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Construction and Engineering,Spain,,Company,Obrascon Huarte Lain (OHL),,Responsible corporate engagement in climate policy,,/company/obrascon-huarte-lain-ohl-,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Telecommunication Services,United States of America,,Company,Verizon Communications Inc.,,Responsible corporate engagement in climate policy,,/company/verizon-communications-inc-,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Software and Services,United States of America,,Company,Autodesk,,Responsible corporate engagement in climate policy,,/company/autodesk,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,,United Kingdom of Great Britain and Northern Ireland,,Investor,Virgin Management Limited,,Responsible corporate engagement in climate policy,,/company/virgin-management-limited,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,,Australia,,Investor,Bank Australia,,Responsible corporate engagement in climate policy,,/company/bank-australia,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,,Mexico,,Investor,Grupo Financiero Banorte SAB de CV,,Responsible corporate engagement in climate policy,,/company/grupo-financiero-banorte-sab-de-cv,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Mining - Coal,South Africa,,Company,Exxaro Resources Ltd,,Responsible corporate engagement in climate policy,,/company/exxaro-resources-ltd,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Construction and Engineering,Netherlands,,Company,Royal BAM Group nv,,Responsible corporate engagement in climate policy,,/company/royal-bam-group-nv,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Technology Hardware and Equipment,Taiwan Province of China,,Company,Acer Inc.,,Responsible corporate engagement in climate policy,,/company/acer-inc-,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Oil and Gas,Thailand,,Company,PTT,,Responsible corporate engagement in climate policy,,/company/ptt,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Automobiles and Components,Japan,,Company,Honda Motor Company,,Responsible corporate engagement in climate policy,,/company/honda-motor-company,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Telecommunication Services,South Africa,,Company,Allied Electronics Corporation Ltd (Altron),,Responsible corporate engagement in climate policy,,/company/allied-electronics-corporation-ltd-altron-,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,,France,,Investor,AXA Group,,Responsible corporate engagement in climate policy,,/company/axa-group,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,"Electric Utilities, Independent Power Producers, and Energy Traders",United States of America,,Company,NRG Energy Inc,,Responsible corporate engagement in climate policy,,/company/nrg-energy-inc,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Construction and Engineering,United Kingdom of Great Britain and Northern Ireland,,Company,Morgan Sindall Group plc,,Responsible corporate engagement in climate policy,,/company/morgan-sindall-group-plc,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Automobiles and Components,United States of America,,Company,Johnson Controls,,Responsible corporate engagement in climate policy,,/company/johnson-controls,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,"Hotels, Restaurants, Leisure, and Tourism",United States of America,,Company,Caesars Entertainment,,Responsible corporate engagement in climate policy,,/company/caesars-entertainment,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Water Utilities,France,,Company,Veolia,,Responsible corporate engagement in climate policy,,/company/veolia,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Gas Utilities,Spain,,Company,Enagás,,Responsible corporate engagement in climate policy,,/company/enagas,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Food and Staples Retailing,United Kingdom of Great Britain and Northern Ireland,,Company,J Sainsbury Plc,,Responsible corporate engagement in climate policy,,/company/j-sainsbury-plc,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
