id,attr_Emissions_reduction,attr_Energy_access_&_efficiency,attr_Renewable_energy,baseline_year,cdp,company_classification,country,dollar_value,entity_type,name,percent_reduction,raw_commitment,target_year,url,attr_Use_of_carbon_price,attr_Building,attr_Private_finance,climatebonds,green_bond,carbonn,community_wide,covenant_of_mayors,attr_Resilience,attr_Forest,attr_Transport,attr_Other,attr_Short_term_pollutants,climategroup,investorsclimatechange,globalcompact,attr_Agriculture,cooperative-initiative,attr_Innovation
67,1.0,1.0,,2012.0,1.0,"Banks, Diverse Financials, and Insurance",Switzerland,,Investor,Ace Ltd.,10,Reduce CO2e emissions intensity of global operations and some business travel by 10% per full-time employee from 2012 to 2020 through increased energy efficiency,2020.0,/company/ace-ltd-,,,,,,,,,,,,,,,,,
68,1.0,1.0,,2009.0,1.0,"Electric Utilities, Independent Power Producers, and Energy Traders",Italy,,Company,ACEA SpA,35,Reduce half of the direct CO2e emissions intensity of their Tor di Valle power plant by 35% per MWh from 2009 to 2018 through energy efficient retrofits,2018.0,/company/acea-spa,,1.0,,,,,,,,,,,,,,,
69,,1.0,,2011.0,1.0,"Electric Utilities, Independent Power Producers, and Energy Traders",Italy,,Company,ACEA SpA,25,Reduce CO2e emissions intensity of utilities purchased by their integrated water services business by 25% per unit of supplied water from 2011 to 2018 through increased energy efficiency,2018.0,/company/acea-spa,,,,,,,,,,,,,,,,,
70,1.0,1.0,,2011.0,1.0,"Electric Utilities, Independent Power Producers, and Energy Traders",Italy,,Company,ACEA SpA,12,Reduce CO2e emissions from purchased utilities by 12% from 2011 to 2018 through increased energy efficiency,2018.0,/company/acea-spa,,,,,,,,,,,,,,,,,
71,1.0,1.0,,2009.0,1.0,"Electric Utilities, Independent Power Producers, and Energy Traders",Italy,,Company,ACEA SpA,30,Reduce half of the direct CO2e emissions from their Tor Di Valle power plant by 30% from 2009 to 2018 through increased building energy efficiency and retrofits,2018.0,/company/acea-spa,,1.0,,,,,,,,,,,,,,,
72,1.0,,,,1.0,"Mining - Iron, Aluminum, Other Metals",Spain,,Company,ACERINOX,20,Reduce emissions from operations by 20% from 2005 by 2020,2020.0,/company/acerinox,,,,,,,,,,,,,,,,,
73,1.0,,,,1.0,"Mining - Iron, Aluminum, Other Metals",Spain,,Company,ACERINOX,25,Reduce emissions from operations by 25% from 2008 by 2015,2015.0,/company/acerinox,,,,,,,,,,,,,,,,,
74,1.0,1.0,,,1.0,"Mining - Iron, Aluminum, Other Metals",Spain,,Company,ACERINOX,20,Reduce emissions intensity in direct operations by 20% by per metric tonnes CO2e per tonne of steel by 2020,2020.0,/company/acerinox,,,,,,,,,,,,,,,,,
75,,,,,1.0,"Mining - Iron, Aluminum, Other Metals",Spain,,Company,ACERINOX,,Use an internal carbon price,,/company/acerinox,1.0,,,,,,,,,,,,,,,,
76,1.0,,,2011.0,,,Italy,,City,Aci Castello,25,Reduce community-wide CO2 emissions by 25% from 2011 to 2020,2020.0,/city/aci-castello/italy,,,,,,,1.0,1.0,,,,,,,,,
77,1.0,,,2011.0,,,Italy,,City,Acireale,24,Reduce community-wide CO2 emissions by 24% from 2011 to 2020,2020.0,/city/acireale/italy,,,,,,,1.0,1.0,,,,,,,,,
78,1.0,,,2013.0,1.0,Construction and Engineering,Spain,,Company,ACS Actividades de Construccion y Servicios,5,Reduce CO2e emissions from purchased utilities by 5% per unit revenue from 2013 to 2015,2015.0,/company/acs-actividades-de-construccion-y-servicios,,,,,,,,,,,,,,,,,
79,1.0,,,2013.0,1.0,Construction and Engineering,Spain,,Company,ACS Actividades de Construccion y Servicios,5,Reduce CO2e emissions intensity across their value chain by 5% per unit revenue from 2013 to 2015,2015.0,/company/acs-actividades-de-construccion-y-servicios,,,,,,,,,,,,,,,,,
80,1.0,,,2013.0,1.0,Construction and Engineering,Spain,,Company,ACS Actividades de Construccion y Servicios,5,Reduce direct CO2e emissions intensity by 5% per unit revenue from 2013 to 2015,2015.0,/company/acs-actividades-de-construccion-y-servicios,,,,,,,,,,,,,,,,,
81,,,,,1.0,"Textiles, Apparel, Footwear, and Luxury Goods",United States of America,,Company,ACTIVE KNITWEAR RESOURCES INC,,Set an internal carbon price by 2017,2017.0,/company/active-knitwear-resources-inc,1.0,,,,,,,,,,,,,,,,
82,1.0,,,,,,Japan,,City,Adachi City,9,Reduce CO2 emissions from the community by 9% by 2016 based on 2007 levels,2016.0,/city/adachi-city/japan,,,,,,1.0,1.0,,,,,,,,,,
83,1.0,,,2011.0,1.0,Ground Transportation - Highways and Railtracks,United Kingdom of Great Britain and Northern Ireland,,Company,ADDISON LEE PLC,3,Reduce CO2e emissions from waste generated in operations by 3% from 2011 to 2020,2020.0,/company/addison-lee-plc,,,,,,,,,,,,,,,,,
84,1.0,1.0,,2012.0,1.0,Professional Services,Switzerland,,Company,Adecco SA,12,Reduce direct CO2e emissions from their business cars by 12% from 2012 to 2022 through increased efficiency and vehicle fleet improvements,2022.0,/company/adecco-sa,,,,,,,,,,,1.0,,,,,,
85,1.0,1.0,,2012.0,1.0,Professional Services,Switzerland,,Company,Adecco SA,12,Reduce CO2e emissions from purchased utilities by 12% from 2012 to 2022 through increased energy efficiency,2022.0,/company/adecco-sa,,,,,,,,,,,,,,,,,
86,1.0,,,2012.0,1.0,Professional Services,Switzerland,,Company,Adecco SA,40,Reduce total CO2e emissions across their value chain by 40% from 2012 to 2022,2022.0,/company/adecco-sa,,,,,,,,,,,,,,,,,
