"","docnum","Topic1","Topic2","Topic3","Topic4","Topic5","Topic6","Topic7","X","file_iso","name","continent"
"62",62,0.0690511048303182,0.00469917896406284,0.00193677348228542,0.920981333319159,0.000215865036127221,0.00152982974971572,0.001585914618332,62,"KOR","South Korea","Asia"
"63",63,0.0484453490762433,0.0576718723881233,0.00988122242534483,0.871452371061516,0.000826591455272025,0.00482614694329884,0.00689644665020189,63,"KOR","South Korea","Asia"
"64",64,0.348514011126438,0.0245142190301391,0.08387342756279,0.44610788451497,0.00241700518555786,0.0873453810452407,0.00722807153486389,64,"KWT","Kuwait","Asia"
"65",65,0.465861247229715,0.00358113275788381,0.0973159132256829,0.000736088196084147,0.216807243876546,0.000895217244421459,0.214803157469667,65,"LAO","Laos","Asia"
"66",66,0.419571239493625,0.0179731111799391,0.19703986730186,0.084981399615421,0.00341646443066975,0.145067585640444,0.131950332338041,66,"LBN","Lebanon","Asia"
"67",67,0.00636293952092989,0.688459970322964,0.0572310620196404,0.0523667311847089,0.00154868094414143,0.0260258484211282,0.168004767586487,67,"LBR","Liberia","Africa"
"68",68,0.0746734796251246,0.246865403751078,0.00897694108879352,0.404683785842477,0.00267459841624304,0.00267941293400839,0.259446378342275,68,"LCA","St. Lucia","Americas"
"69",69,0.652800423434413,0.0373298186860654,0.0703120661334171,0.000594709732302452,0.124788407777552,0.0257287813862625,0.0884457928499879,69,"LKA","Sri Lanka","Asia"
"70",70,0.000786631695519489,0.00107683194311381,0.000475668085857209,0.997060916631061,8.71033761050854e-06,0.0003719579734097,0.000219283333427781,70,"LTU","Lithuania","Europe"
"71",71,0.000786631695519489,0.00107683194311381,0.000475668085857209,0.997060916631061,8.71033761050854e-06,0.0003719579734097,0.000219283333427781,71,"LUX","Luxembourg","Europe"
"72",72,0.000786631695519489,0.00107683194311381,0.000475668085857209,0.997060916631061,8.71033761050854e-06,0.0003719579734097,0.000219283333427781,72,"LVA","Latvia","Europe"
"73",73,0.677446835231985,0.00273121369552457,0.145187691268878,0.0518086394135523,0.0390093320799087,0.0794875854366359,0.00432870287351532,73,"MAR","Morocco","Africa"
"74",74,0.982761198535888,0.00173616635497653,0.00185769838650089,0.000659249939222732,0.0103907972342328,0.000722898380899087,0.00187199116827991,74,"MCO","Monaco","Europe"
"75",75,0.000272655000144381,0.0720746181510837,0.925474801248141,0.000167785229278556,9.67215803560595e-05,0.00101224014062945,0.000901178650367048,75,"MDA","Moldova","Europe"
"76",76,0.112335854656757,0.138780656143876,0.00464548360650143,0.652399495382844,0.00284310233300888,0.00105442530317821,0.0879409825738348,76,"MDV","Maldives","Asia"
