,ID,URL,country,latitude,longitude,name,population,commitment_phase,inventory_phase,target_phase,plan_phase,action_plan_url,adaptation_plan_url,building_sector_emissions,transportation_sector_emissions,waste_sector_emissions,industrial_sector_emissions,other_sector_emissions
76,1846,https://www.globalcovenantofmayors.org/cities/leon-mexico/,Mexico,21.0973352,-101.6476422,León,1436480,True,True,True,True,http://www.globalcovenantofmayors.org/wp-content/uploads2015/07/Mitigation-Climate-Action-Plan.pdf,http://www.globalcovenantofmayors.org/wp-content/uploads2015/07/Adaptation-ACtion-Plan-25-05-2015.pdf,,,,,
77,1848,https://www.globalcovenantofmayors.org/cities/faro/,Portugal,37.0537571,-7.931936517,Faro,61019,True,True,True,True,,,,,,,
78,1884,https://www.globalcovenantofmayors.org/cities/cuernavaca/,Mexico,18.9218274,-99.2342281,Cuernavaca,365168,True,True,True,True,,,,,,,
79,1886,https://www.globalcovenantofmayors.org/cities/braga/,Portugal,41.5510583,-8.4280044,Braga,182000,True,True,True,True,,,,,,,
80,1888,https://www.globalcovenantofmayors.org/cities/padova/,Italy,45.4077172,11.8734455,Padova,211413,True,True,True,True,,,,,,,
81,1890,https://www.globalcovenantofmayors.org/cities/florianopolis/,Brazil,-27.5973001,-48.5496097,Florianópolis,550000,True,True,True,True,,,,,,,
82,1892,https://www.globalcovenantofmayors.org/cities/salvador/,Brazil,-12.9822498,-38.4812771,Salvador,2902927,True,True,True,True,,,21.5,71.6,6.9,,
83,1896,https://www.globalcovenantofmayors.org/cities/new-york-city/,United States,40.85880085,-73.86321415,New York City,8537673,True,True,True,True,http://www1.nyc.gov/html/onenyc/index.html,http://www.nyc.gov/html/sirr/html/report/report.shtml,71.7,23.0,5.2,,
84,1900,https://www.globalcovenantofmayors.org/cities/san-francisco/,United States,37.7792808,-122.4192362,San Francisco,864816,True,True,True,True,http://www.sfenvironment.org/sites/default/files/engagement_files/sfe_cc_ClimateActionStrategyUpdate2013.pdf,http://www.sfenvironment.org/sites/default/files/engagement_files/sfe_cc_ClimateActionStrategyUpdate2013.pdf,45.0,50.6,4.4,,
85,1902,https://www.globalcovenantofmayors.org/cities/milan/,Italy,45.4667971,9.1904984,Milan,1359905,True,True,True,True,,,,,,,
86,1904,https://www.globalcovenantofmayors.org/cities/berlin/,Germany,52.5170365,13.3888599,Berlin,3440000,True,True,True,True,http://www.stadtentwicklung.berlin.de/umwelt/klimaschutz/bek_berlin/,http://www.stadtentwicklung.berlin.de/umwelt/klimaschutz/klimawandel/de/anpassungskonzept_berlin/,,,,,
87,1906,https://www.globalcovenantofmayors.org/cities/madrid/,Spain,40.4167047,-3.7035824,Madrid,3165883,True,True,True,True,http://www.madrid.es/UnidadesDescentralizadas/Sostenibilidad/EspeInf/EnergiayCC/02PECCH/Ficheros/PECCH2020.pdf,http://www.madrid.es/UnidadesDescentralizadas/Sostenibilidad/EspeInf/EnergiayCC/02PECCH/Ficheros/PECCH2020.pdf,62.32,33.12,4.56,,
88,1942,https://www.globalcovenantofmayors.org/cities/seattle/,United States,47.6038321,-122.3300623,Seattle,"725,000",True,True,True,True,http://www.seattle.gov/Documents/Departments/OSE/2013_CAP_20130612.pdf,https://www.seattle.gov/Documents/Departments/Environment/ClimateChange/SEAClimatePreparedness_August2017.pdf,44.2,54.7,1.1,,
