name,entity_type,constituency,coordinator,city,country
Bangladesh Centre for Advanced Studies,Non-governmental organizations,Constituency - Research and independent,Mr. A. Atiq Rahman,Dhaka,Bangladesh
Bangladesh Environmental Lawyers Association,Non-governmental organizations,Constituency - Environmental CAN,Ms. Syeda Hasan,Dhaka,Bangladesh
Bangladesh Resource Centre for Indigenous Knowledge,Non-governmental organizations,Constituency - ENGO,Mr. Sukanta Kumar Sen,Dhaka,Bangladesh
Bangor University,Non-governmental organizations,Constituency - Research and independent,Ms. Alison Mawhinney,Bangor,United Kingdom of Great Britain and Northern Ireland
BankTrack,Non-governmental organizations,Constituency - Environmental,Mr. Johan Frijns,Nijmegen,Netherlands
Basel Agency for Sustainable Energy,Non-governmental organizations,Constituency - Environmental,Mr. Daniel Magallon,Basel,Switzerland
Basque Centre for Climate Change,Non-governmental organizations,Constituency - Research and independent,Ms. Nerea Ortiz,Bilbao,Spain
Bay Area Council Foundation,Non-governmental organizations,Constituency - Business and Industry,Mr. Adrian Joseph Covert,San Francisco,United States of America
BBC Media Action,Non-governmental organizations,Constituency - Research and independent,Ms. Lisa Robinson,London,United Kingdom of Great Britain and Northern Ireland
Bellona Foundation,Non-governmental organizations,Constituency - Environmental,Mr. Olav Oye,Oslo,Norway
Belville Community,Non-governmental organizations,Constituency - Environmental,Ms. Adrian Scott,Greenock,United Kingdom of Great Britain and Northern Ireland
Garden Trust,Non-governmental organizations,Constituency - Environmental,Ms. Adrian Scott,Greenock,United Kingdom of Great Britain and Northern Ireland
BHP Billiton SaskPower Carbon Capture and Storage (CCS) Knowledge Centre Inc. doing business as International CCS Knowledge Centre,Non-governmental organizations,Constituency - Business and Industry,Ms. C. Beth Hardy,Regina,Canada
Biovision - Foundation for Ecological Development,Non-governmental organizations,Constituency - Environmental,Mr. Fabio Leippert,Zurich,Switzerland
BirdLife International,Non-governmental organizations,Constituency - Environmental CAN,Ms. Rhiannon Niven,Cambridge,United Kingdom of Great Britain and Northern Ireland
Bloomberg Philanthropies,Non-governmental organizations,Constituency - Environmental,Ms. Daphne Wang,New York City,United States of America
Blue Marine Foundation,Non-governmental organizations,Constituency - Environmental,Mr. Daniel Crockett,London,United Kingdom of Great Britain and Northern Ireland
Blue Ventures,Non-governmental organizations,Constituency - Environmental,Ms. Annie Tourette,London,United Kingdom of Great Britain and Northern Ireland
Bonsucro Limited,Non-governmental organizations,Constituency - Environmental,Mr. James Jones,London,United Kingdom of Great Britain and Northern Ireland
Boston College,Non-governmental organizations,Constituency - Research and independent,Mr. Joseph Vitale,Chestnut Hill,United States of America
Boston University,Non-governmental organizations,Constituency - Research and independent,Mr. John Prandato,Boston,United States of America
Both ENDS Foundation,Non-governmental organizations,Constituency - Environmental CAN,Mr. Wiert Wiertsema,Amsterdam,Netherlands
Boticário Group Foundation for Nature Protection,Non-governmental organizations,Constituency - Environmental,Mr. Andre Rocha Ferretti,Curitiba,Brazil
Bournemouth University,Non-governmental organizations,Constituency - Research and independent,Ms. Emma Jenkins,Bournemouth,United Kingdom of Great Britain and Northern Ireland
BRAC,Non-governmental organizations,Constituency - Environmental,Mr. Md. Ashadudzaman,Dhaka,Bangladesh
Brahma Kumaris World Spiritual University,Non-governmental organizations,Constituency - Research and independent,Ms. Sonja Maria Ohlsson,Mount Abu,India
Brazilian Biodiversity Fund,Non-governmental organizations,Constituency - Environmental,Mr. Fabio Heuseler Ferreira Leite,Rio de Janeiro,Brazil
Brazilian Business Council for Sustainable Development,Non-governmental organizations,Constituency - Business and Industry,Ms. Luana Maia,Rio de Janiero,Brazil
Brazilian Confederation of Agriculture and Livestock,Non-governmental organizations,,Mr. João Carlos De Petribú Dé Carli Filho,Brasilia,Brazil
Brazilian National Confederation of Industry,Non-governmental organizations,Constituency - Business and Industry,Mr. Davi Bomtempo,Brasília,Brazil
Brazilian Tree Industry,Non-governmental organizations,Constituency - Business and Industry,Ms. Nathalia Loures,Sao Paulo,Brazil
Bread for the World,Non-governmental organizations,Constituency - Environmental CAN,Ms. Annika Rach,Berlin,Germany
Bright Blue,Non-governmental organizations,Constituency - Research and independent,Mr. Patrick Hall,London,United Kingdom of Great Britain and Northern Ireland
"Brighter Green, Inc.",Non-governmental organizations,Constituency - Environmental CAN,Ms. Mia MacDonald,New York,United States of America
British Beauty Council,Non-governmental organizations,Constituency - Business and Industry,Ms. Victoria Marie Brownlie,London,United Kingdom of Great Britain and Northern Ireland
British Columbia Council for International Cooperation,Non-governmental organizations,Constituency - Environmental,Ms. Deborah Glaser,Vancouver,Canada
British Institute of International and Comparative Law,Non-governmental organizations,Constituency - Research and independent,Mr. Ivano Alogna,London,United Kingdom of Great Britain and Northern Ireland
British Lung Foundation,Non-governmental organizations,Constituency - Environmental,Ms. Harriet Edwards,London,United Kingdom of Great Britain and Northern Ireland
British Society of Soil Science,Non-governmental organizations,Constituency - Environmental,Ms. Sarah Garry,Milton Keynes,United Kingdom of Great Britain and Northern Ireland
British Standards Institution,Non-governmental organizations,Constituency - Business and Industry,Mr. David Francis Fatscher,London,United Kingdom of Great Britain and Northern Ireland
